course_code,course_name,units,description
CMSC 161,Interactive Computer Graphics,3,"Graphics systems software and hardware, 2D drawing algorithms, geometrical transformations, surface modeling, 3D viewing, visible surface determination algorithms, reflection and illumination models, shading models for polygons, color theory, ray tracing, animation. Students write their 3D rendering engine. Prerequisite: CMSC 123 or COI."
CMSC 165,Digital Image Processing,3,"Methods for acquiring, creating, manipulating, enhancing, and analyzing digital images. Prerequisite: CMSC 123 or COI."
CMSC 170,Introduction to Artificial Intelligence,3,"Basic principles and applications of artificial intelligence: knowledge representation, natural language processing, pattern recognition and expert systems. Prerequisite: CMSC 123."
CMSC 172,Robot Modeling,3,"Robotics manipulators and their characteristics; conversion from joint space to real world coordinates; inverse kinematics; workspace analysis; differential motion. Prerequisite: CMSC 123."
CMSC 173,Human-Computer Interaction,3,"Theory, design methodologies, and programming practices in Human-Computer Interaction. Prerequisites: CMSC 123 and STAT 101."
CMSC 180,Introduction to Parallel Computing,3,"Parallel computational models, machine architectures, performance models, algorithms, and programming. Prerequisite: CMSC 132."
CMSC 190,Special Problem,3,"To be enrolled twice; once as one-unit course to prepare for a proposal, then as a two-unit course to implement the proposal. Prerequisite: COI."
CMSC 191,Special Topics,3,"Elective course covering advanced or emerging topics in computer science. Prerequisite: CMSC 123."
CMSC 198,Practicum,3,"Supervised practical experience in an industry or research institution relevant to computer science. Prerequisite: COI."
CMSC 199,Undergraduate Seminar,1,"Seminar on current developments and issues in computer science. Prerequisite: COI."
CMSC 200,Undergraduate Thesis,6,"Individual research work culminating in a written thesis and oral defense. Prerequisite: COI."
